id;first_name;last_name;email;phone_number;hire_date;commission_pct
1;立轩;白;立诚.魏75@yahoo.com;repurpose withdrawal;2021-09-02T01:40:11;71697
2;伟诚;林;致远36@yahoo.com;Tuna;2021-09-01T18:11:14;9385
3;思源;梁;昊焱27@hotmail.com;bandwidth-monitored 栋;2021-09-01T14:48:30;65309
4;智宸;许;胤祥.潘@hotmail.com;reinvent orchestrate;2021-09-01T10:10:04;52820
5;晓博;姜;明.萧@gmail.com;Singapore;2021-09-01T18:23:51;12636
6;弘文;魏;烨磊11@gmail.com;open-source;2021-09-02T03:24:37;73893
7;弘文;钟;伟宸_蔡76@yahoo.com;Concrete Account;2021-09-02T04:02:14;72993
8;鹤轩;许;果_董65@gmail.com;街 infrastructures;2021-09-02T07:46:06;8893
9;烨伟;戴;驰4@yahoo.com;Electronics;2021-09-01T11:38:40;69929
10;靖琪;郭;立辉21@hotmail.com;Table;2021-09-01T12:21:05;601
